Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Subcategory,Product Name,Sales,Quantity,Profit,Returns,Payment Mode
WM-100059,2025-10-25,2025-10-31,First Class,CUST-6260,Lisa Alvarado,Home Office,United States,West Ryan,North Carolina,South,PROD-23710,Furniture,Bookcases,Metal Bookcase,2039.33,2,227.39,No,Debit Card
WM-100060,2025-01-23,2025-01-29,First Class,CUST-5135,Erika Terry,Corporate,United States,Lake Rachelhaven,Michigan,Central,PROD-25194,Office Supplies,Paper,Sticky Notes,2364.08,9,-197.37,Yes,UPI
WM-100061,2026-05-28,2026-06-02,Second Class,CUST-5375,Paul Thompson,Home Office,United States,East Robert,Nevada,West,PROD-27172,Technology,Phones,iPhone 15,917.21,8,166.41,Yes,Cash on Delivery
WM-100062,2025-01-19,2025-01-24,Same Day,CUST-2527,Jeffrey Carpenter,Consumer,United States,Richardtown,Virginia,South,PROD-24871,Furniture,Chairs,Executive Chair,2002.3,3,79.77,Yes,UPI
WM-100063,2025-11-03,2025-11-08,Second Class,CUST-8483,John Santana,Home Office,United States,Stevenmouth,Washington,West,PROD-28958,Technology,Copiers,Canon Copier,1769.42,7,487.7,No,UPI
WM-100064,2025-07-02,2025-07-05,First Class,CUST-5891,Lisa Davis,Home Office,United States,Lake Christopher,Massachusetts,East,PROD-86011,Furniture,Tables,Coffee Table,2336.94,9,47.27,Yes,UPI
WM-100065,2026-02-13,2026-02-16,Second Class,CUST-4912,Alexander Sanchez,Home Office,United States,Lake Lance,New Jersey,East,PROD-60196,Office Supplies,Paper,Sticky Notes,1388.76,9,96.86,No,Debit Card
WM-100066,2025-05-16,2025-05-22,Same Day,CUST-1606,Mark Lee,Consumer,United States,Carrland,Florida,South,PROD-75836,Technology,Copiers,Canon Copier,2285.31,7,168.51,No,Net Banking
WM-100067,2024-09-19,2024-09-23,Standard Class,CUST-8692,Abigail Potter,Corporate,United States,Snyderbury,Texas,Central,PROD-54375,Technology,Phones,Google Pixel 8,58.06,3,4.91,No,Net Banking
WM-100068,2026-02-11,2026-02-14,Standard Class,CUST-4846,Kelly Williams,Home Office,United States,Port Ronaldburgh,Florida,South,PROD-99705,Technology,Copiers,Canon Copier,1574.46,8,460.64,Yes,Cash on Delivery
WM-100069,2024-09-08,2024-09-14,Standard Class,CUST-1753,Mary Travis,Corporate,United States,Port David,New York,East,PROD-17355,Technology,Phones,Google Pixel 8,2184,8,-54.9,No,Cash on Delivery
WM-100070,2025-09-15,2025-09-20,Same Day,CUST-4945,Stephanie Simmons,Corporate,United States,Stephaniemouth,Ohio,Central,PROD-86435,Technology,Phones,iPhone 15,1041.89,3,-24.49,Yes,Debit Card
WM-100071,2025-05-12,2025-05-15,Standard Class,CUST-8237,David Walsh,Corporate,United States,Merrittfort,New Jersey,East,PROD-87014,Office Supplies,Paper,Sticky Notes,1673.76,8,511.41,No,Cash on Delivery
WM-100072,2025-05-04,2025-05-08,First Class,CUST-5837,Dustin Nelson,Consumer,United States,Simsview,North Carolina,South,PROD-96275,Technology,Accessories,Wireless Mouse,2136.27,2,14.4,No,UPI
WM-100073,2024-09-12,2024-09-17,First Class,CUST-4588,James Hernandez,Home Office,United States,Patricialand,Texas,Central,PROD-34920,Office Supplies,Storage,Storage Box,1868.03,5,465.3,No,Net Banking
WM-100074,2025-02-09,2025-02-12,Standard Class,CUST-5835,Jennifer Clark,Corporate,United States,North Robert,Illinois,Central,PROD-64460,Office Supplies,Binders,Ring Binder,1975.75,1,317.72,No,Debit Card
WM-100075,2025-11-19,2025-11-26,First Class,CUST-2886,Spencer Johnston,Corporate,United States,Priceshire,Massachusetts,East,PROD-19869,Office Supplies,Paper,Sticky Notes,428.07,8,143.54,No,Debit Card
WM-100076,2025-01-14,2025-01-21,First Class,CUST-5295,Sarah Ashley,Home Office,United States,Smithstad,New Jersey,East,PROD-59941,Office Supplies,Paper,A4 Paper Pack,998.54,5,141.25,No,Cash on Delivery
WM-100077,2026-02-08,2026-02-13,Same Day,CUST-5951,Connie Robinson,Home Office,United States,Medinaside,Washington,West,PROD-63516,Technology,Phones,Google Pixel 8,833.46,10,-0.32,Yes,Credit Card
WM-100078,2025-02-13,2025-02-14,First Class,CUST-9850,Rebecca Ramsey,Corporate,United States,Tuckerfurt,New York,East,PROD-86983,Furniture,Tables,Coffee Table,261.04,9,-10.17,No,Debit Card
WM-100079,2024-06-17,2024-06-20,Second Class,CUST-6942,Leslie Alvarado,Consumer,United States,Calhounside,Florida,South,PROD-99873,Technology,Copiers,Canon Copier,101.14,6,-0.23,No,Cash on Delivery
WM-100080,2024-10-16,2024-10-17,Standard Class,CUST-1828,James Lewis,Corporate,United States,Lake Roymouth,Texas,Central,PROD-41925,Technology,Accessories,Wireless Mouse,2373.55,8,-139.44,No,Debit Card
WM-100081,2024-12-30,2025-01-06,First Class,CUST-3370,Sandra King,Consumer,United States,Matthewfurt,New York,East,PROD-80807,Office Supplies,Binders,Ring Binder,2176.84,6,540.87,Yes,Cash on Delivery
WM-100082,2024-07-07,2024-07-08,Second Class,CUST-5347,Mrs. Marie Harrington DDS,Consumer,United States,South Andrewside,New York,East,PROD-26614,Office Supplies,Binders,Ring Binder,908.44,4,149.88,Yes,UPI
WM-100083,2025-09-22,2025-09-27,First Class,CUST-8504,Cameron Caldwell,Home Office,United States,East Jamestown,California,West,PROD-14082,Technology,Accessories,USB-C Hub,1492.29,8,189.11,Yes,Credit Card
WM-100084,2026-01-13,2026-01-17,First Class,CUST-3430,Larry Stuart,Consumer,United States,South Holly,Virginia,South,PROD-26540,Technology,Copiers,HP Copier,1786.76,8,-119.59,Yes,Cash on Delivery
WM-100085,2024-08-19,2024-08-23,Second Class,CUST-8046,Tanya Johnston,Corporate,United States,Port Loriport,Michigan,Central,PROD-39949,Office Supplies,Storage,File Organizer,1273.77,7,-70.53,Yes,UPI
WM-100086,2024-07-26,2024-07-27,Second Class,CUST-8770,Sandra Sanchez,Consumer,United States,Sandersborough,Michigan,Central,PROD-21957,Technology,Accessories,Laptop Sleeve,795.12,6,158.47,No,Credit Card
WM-100087,2026-02-05,2026-02-12,Standard Class,CUST-7730,Dr. Hannah Patterson,Corporate,United States,Melissaville,Nevada,West,PROD-97207,Furniture,Bookcases,Metal Bookcase,342.69,1,56.17,No,UPI
WM-100088,2024-06-06,2024-06-07,Second Class,CUST-2773,Samantha Garcia,Corporate,United States,Caseymouth,Oregon,West,PROD-82910,Office Supplies,Paper,Sticky Notes,1453.24,4,-44.14,No,Cash on Delivery
WM-100089,2025-11-28,2025-12-05,First Class,CUST-1474,Christopher Boyd,Consumer,United States,Cynthiamouth,Oregon,West,PROD-45818,Office Supplies,Binders,Heavy Duty Binder,1411.19,10,248.52,Yes,Cash on Delivery
WM-100090,2026-01-19,2026-01-24,Standard Class,CUST-9691,Mr. Nicholas Adams,Consumer,United States,Christinaside,Ohio,Central,PROD-59308,Furniture,Chairs,Office Chair,1650.21,2,-59.67,Yes,UPI
WM-100091,2024-12-30,2025-01-05,Second Class,CUST-3579,Dana Marshall,Home Office,United States,Port Sarah,North Carolina,South,PROD-16522,Furniture,Tables,Coffee Table,824.47,10,138.76,Yes,Credit Card
WM-100092,2026-03-19,2026-03-24,First Class,CUST-8043,John Kelly,Consumer,United States,Rogersfort,Michigan,Central,PROD-47125,Office Supplies,Paper,Sticky Notes,1116.27,5,-3.34,Yes,Net Banking
WM-100093,2025-08-02,2025-08-07,Second Class,CUST-5186,Travis Miller,Corporate,United States,Matthewview,North Carolina,South,PROD-53007,Furniture,Chairs,Gaming Chair,155.86,4,5.55,No,Credit Card
WM-100094,2025-11-15,2025-11-17,Standard Class,CUST-7505,Michael West,Home Office,United States,Freemanbury,Nevada,West,PROD-15544,Office Supplies,Paper,A4 Paper Pack,962.91,4,120.48,No,UPI
WM-100095,2025-11-16,2025-11-20,Standard Class,CUST-6321,Matthew Wood,Consumer,United States,North Kellyfurt,Nevada,West,PROD-91018,Furniture,Tables,Study Table,1442.03,7,43.67,No,UPI
WM-100096,2025-02-08,2025-02-12,First Class,CUST-4630,Jesse Parker,Corporate,United States,Ronaldside,Texas,Central,PROD-32037,Technology,Phones,iPhone 15,1480.4,9,-95.65,No,Credit Card
WM-100097,2025-01-28,2025-02-04,First Class,CUST-4232,Joshua Gill,Consumer,United States,North Jennifer,Washington,West,PROD-88957,Technology,Accessories,Laptop Sleeve,1620.7,3,10.24,No,Debit Card
WM-100098,2025-06-08,2025-06-15,First Class,CUST-3473,Kevin Wolf,Corporate,United States,East Javier,Washington,West,PROD-18950,Office Supplies,Paper,Sticky Notes,1418.06,10,144.65,No,UPI
WM-100099,2025-01-13,2025-01-16,Standard Class,CUST-7041,Christopher Smith,Corporate,United States,Tinaborough,North Carolina,South,PROD-20057,Technology,Copiers,HP Copier,1278.2,5,137.77,Yes,Credit Card
WM-100100,2024-07-09,2024-07-13,Same Day,CUST-9214,Melissa Martinez,Consumer,United States,West Brandon,Virginia,South,PROD-18109,Office Supplies,Storage,Storage Box,2274.44,10,439.71,No,UPI
WM-100101,2025-08-16,2025-08-17,First Class,CUST-7108,John Peterson,Corporate,United States,Garciatown,Oregon,West,PROD-60779,Office Supplies,Binders,Ring Binder,634.4,8,219.47,No,UPI
WM-100102,2024-08-24,2024-08-25,First Class,CUST-3463,Jennifer Jones,Corporate,United States,West Shelleyfort,Texas,Central,PROD-20682,Office Supplies,Storage,File Organizer,837.63,9,171.94,No,Net Banking
WM-100103,2025-01-18,2025-01-20,First Class,CUST-3093,David Grant,Home Office,United States,East Edwardshire,Pennsylvania,East,PROD-99838,Technology,Copiers,Canon Copier,1495.7,2,58.8,No,Net Banking
WM-100104,2026-01-20,2026-01-23,Second Class,CUST-4711,Joanna Ramos,Consumer,United States,Obrienbury,Nevada,West,PROD-30308,Office Supplies,Paper,A4 Paper Pack,785.99,4,42.27,No,Credit Card
WM-100105,2025-09-13,2025-09-19,Second Class,CUST-3658,Annette Farmer,Consumer,United States,Torreston,Texas,Central,PROD-91885,Office Supplies,Storage,Storage Box,855.18,10,-35.09,No,Debit Card
WM-100106,2024-09-26,2024-10-02,Second Class,CUST-9749,Juan Moore,Consumer,United States,West Donna,Florida,South,PROD-50562,Technology,Accessories,Laptop Sleeve,609.07,8,106.45,No,UPI
WM-100107,2025-01-09,2025-01-13,Second Class,CUST-4271,Dwayne Campbell,Home Office,United States,Hayesfort,Pennsylvania,East,PROD-28140,Office Supplies,Storage,File Organizer,1928.21,7,243.55,No,Cash on Delivery
WM-100108,2026-05-15,2026-05-21,First Class,CUST-8361,Rick Lawrence,Home Office,United States,Jonesbury,Nevada,West,PROD-29313,Technology,Copiers,HP Copier,2117.81,2,59.89,No,UPI
WM-100109,2024-11-18,2024-11-22,Standard Class,CUST-7142,Susan Serrano,Consumer,United States,South Danny,Washington,West,PROD-13694,Technology,Accessories,Wireless Mouse,152.08,9,10.38,No,Cash on Delivery
WM-100110,2025-09-02,2025-09-05,Same Day,CUST-8349,Laura Roberts,Home Office,United States,North Gabrielport,Oregon,West,PROD-10688,Furniture,Chairs,Office Chair,2295.14,8,489.4,No,Credit Card
WM-100111,2024-12-25,2024-12-31,Second Class,CUST-5934,Katherine Miller,Consumer,United States,South Haleyfurt,Oregon,West,PROD-16258,Furniture,Chairs,Executive Chair,1530.02,7,-76.45,No,Debit Card
WM-100112,2024-06-17,2024-06-22,First Class,CUST-8032,Vernon Huff,Consumer,United States,South Jessicaview,Virginia,South,PROD-90584,Furniture,Chairs,Gaming Chair,1349.41,9,214.25,No,Cash on Delivery
WM-100113,2025-08-18,2025-08-23,Same Day,CUST-8702,Peter Ruiz,Consumer,United States,Port Emilyview,New Jersey,East,PROD-93318,Furniture,Bookcases,Wooden Bookcase,2437.14,2,801.9,Yes,UPI
WM-100114,2025-08-25,2025-09-01,First Class,CUST-3185,Robert Costa,Consumer,United States,Moonburgh,Ohio,Central,PROD-56176,Office Supplies,Binders,Heavy Duty Binder,187.55,4,43.1,Yes,Net Banking
WM-100115,2025-02-01,2025-02-07,Standard Class,CUST-5807,Shannon Rivera,Consumer,United States,Baileymouth,Illinois,Central,PROD-15741,Office Supplies,Paper,Sticky Notes,472.05,3,-33.8,No,Debit Card
WM-100116,2026-02-18,2026-02-25,First Class,CUST-6848,Amanda Miller,Consumer,United States,Robertsfurt,Oregon,West,PROD-95948,Technology,Copiers,Canon Copier,1366.72,5,-114.15,No,Cash on Delivery
WM-100117,2026-03-30,2026-04-05,Same Day,CUST-9151,Virginia Sandoval,Corporate,United States,Marcusfurt,Texas,Central,PROD-78062,Technology,Accessories,USB-C Hub,1110.55,7,58.38,No,Cash on Delivery
WM-100118,2025-07-04,2025-07-11,First Class,CUST-5843,Peter Garrett,Corporate,United States,Gutierrezborough,Nevada,West,PROD-68447,Furniture,Tables,Study Table,467.53,5,20.83,Yes,Net Banking
WM-100119,2026-05-18,2026-05-22,First Class,CUST-1939,Stanley Washington,Consumer,United States,East Josephberg,Georgia,South,PROD-97973,Office Supplies,Paper,Sticky Notes,125.04,6,22.09,No,UPI
WM-100120,2025-11-30,2025-12-06,First Class,CUST-6933,Juan Tran,Corporate,United States,Lake Chelseabury,Illinois,Central,PROD-84349,Furniture,Chairs,Executive Chair,1957.65,1,-84.56,No,Credit Card
WM-100121,2025-05-21,2025-05-28,First Class,CUST-5566,Maria Moore,Consumer,United States,East Victoriaville,New Jersey,East,PROD-24869,Technology,Accessories,USB-C Hub,210.68,3,29.13,No,Credit Card
WM-100122,2025-04-15,2025-04-18,Same Day,CUST-4279,Veronica Sanchez,Consumer,United States,Williamview,New Jersey,East,PROD-27790,Office Supplies,Paper,A4 Paper Pack,1941.91,8,-6.69,No,Credit Card
WM-100123,2025-09-05,2025-09-12,First Class,CUST-5914,Sherry Shields,Consumer,United States,South James,Georgia,South,PROD-93584,Office Supplies,Paper,A4 Paper Pack,1711.18,6,343.14,Yes,Debit Card
WM-100124,2025-02-15,2025-02-17,Same Day,CUST-3126,Katie Hoover,Home Office,United States,Kendrachester,Illinois,Central,PROD-21300,Furniture,Chairs,Office Chair,1980.13,1,123.57,No,Credit Card
WM-100125,2025-08-21,2025-08-26,Second Class,CUST-6194,Mrs. Brittany Ryan MD,Home Office,United States,Jessicashire,Michigan,Central,PROD-19720,Office Supplies,Storage,File Organizer,1038.77,7,280.99,Yes,UPI
WM-100126,2026-04-03,2026-04-10,Standard Class,CUST-9488,Michael Armstrong,Consumer,United States,Gibsonmouth,North Carolina,South,PROD-49862,Furniture,Bookcases,Wooden Bookcase,2416.34,7,305.16,Yes,Debit Card
WM-100127,2024-06-30,2024-07-05,Second Class,CUST-5961,John Mcintyre,Home Office,United States,Port Kimberly,Pennsylvania,East,PROD-79924,Office Supplies,Binders,Heavy Duty Binder,2239.42,2,28.6,No,Credit Card
WM-100128,2025-06-16,2025-06-23,Standard Class,CUST-1744,Beth Sanford,Home Office,United States,Hughesberg,Massachusetts,East,PROD-85598,Furniture,Bookcases,Metal Bookcase,2311.35,1,627.2,Yes,Cash on Delivery
WM-100129,2024-08-13,2024-08-17,Same Day,CUST-5012,Joyce Bowen,Home Office,United States,Mollymouth,New Jersey,East,PROD-63227,Office Supplies,Storage,Storage Box,2224.71,9,67.52,No,Cash on Delivery
